GiftId,TripId
62229,0
13744,0
61482,0
12575,0
12924,0
13391,0
12725,0
11604,0
61383,0
9991,0
13487,0
62411,0
62291,0
12007,0
12091,0
10351,0
63195,0
12362,0
12631,0
12570,0
13383,0
11664,0
13025,0
62771,0
12089,0
9982,0
63205,0
11655,0
12416,0
13558,0
11899,0
12088,0
12800,0
10134,0
61432,0
12853,0
11682,0
62880,0
11704,0
62507,0
12441,0
9930,0
62492,0
9921,0
62505,0
13822,0
13795,0
62972,0
13711,0
10168,0
12911,0
13714,0
13830,0
13803,0
13481,0
12833,0
11834,0
63108,0
13181,0
13484,0
13652,0
13202,0
62644,0
12877,0
13414,0
62384,0
12757,0
62797,0
62998,0
61417,0
13508,0
62193,0
10154,0
61386,0
62803,0
11688,0
12194,0
13760,0
12119,0
62331,0
10184,0
62764,0
13606,0
62317,0
13411,0
13013,0
61459,0
62544,0
61445,0
10368,0
61413,0
12932,0
9941,0
62611,0
12334,0
13063,0
62353,0
62862,0
13555,0
61466,0
12190,0
12849,0
61298,0
62877,0
12581,0
61255,0
12359,0
63167,0
10360,0
63122,0
63209,0
62383,0
62785,0
13133,0
62442,0
62280,0
13763,0
13813,0
12652,0
74989,0
61442,0
10041,0
13315,0
10156,0
13772,0
10401,0
13191,0
62778,0
12790,0
12995,0
61329,0
12216,0
62982,0
10390,0
12444,0
12560,0
62596,0
63033,0
11782,0
13784,0
10010,0
62335,0
62537,0
13464,0
10398,0
62303,0
12510,0
9915,0
10013,0
12105,0
12342,0
62820,0
12718,0
12517,0
13667,0
11811,0
62635,0
13038,0
63235,0
63002,0
63116,0
12862,0
13675,0
62648,0
11800,0
12067,0
63004,0
12784,0
62937,0
11786,0
12350,0
12704,0
63102,0
62583,0
12609,0
11615,0
11852,0
12217,0
63019,0
13771,0
11657,0
12443,0
12055,0
12028,0
62389,0
11886,0
62883,0
13445,0
61291,0
62609,0
12039,0
12610,0
12254,0
61306,0
10162,0
12701,0
12662,0
10063,0
11784,0
13288,0
13807,0
13047,0
12901,0
12009,0
12025,0
62867,0
13369,0
10174,0
62522,0
12173,0
12171,0
62811,0
62395,0
10225,0
61492,0
10031,0
9945,0
12418,0
12118,0
11814,0
13748,0
11808,0
51549,1
85398,1
4260,1
89568,1
12873,1
23065,1
63830,1
63630,1
75865,1
